x1,x2,p,u
1.545625808,1.240149326,1.14939055,-1
-4.28259296,0.438528405,1.545258974,1
3.36531124,-2.304112973,0.60098601,-1
2.299498613,-1.151319091,1.208553872,-0.798736475
0.713833282,-0.172216177,1.609110006,-0.276586674
0.614619198,-0.965735793,1.237751564,0.163591968
3.17433799,-3.208047108,1.210142465,-0.168600542
3.950878173,-3.671312738,0.80498622,-0.627011392
-9.610383077,1.725158694,1.975396946,1
-2.21190735,-0.311217991,0.915893878,1
0.95716269,-2.352520578,1.667628722,0.583965813
-1.795534167,0.335974574,1.082021591,0.999999993
3.285280664,1.286636765,1.896642808,-1
0.495393301,-3.258593685,0.649803427,1
1.408673857,-0.257286284,1.301864729,-0.702206895
1.889400149,-2.956797234,0.590758976,0.657208146
0.229061063,1.843386476,0.987923923,-1
-6.626872829,-0.357154016,1.264781825,1
-1.714951841,-1.795050532,1.002852827,1
-0.551498126,-0.127127951,1.091343003,0.460159401
-1.706514871,-2.540296902,1.522337659,1
4.685637014,-1.425688024,0.532506993,-1
1.2173373,-3.42154864,1.286337832,0.999999999
-1.822244827,-0.740273706,0.811213727,1
4.297482544,0.183544975,1.258700372,-1
2.063564224,1.562230781,0.869962289,-1
-7.320195158,0.384788259,1.671428837,1
-6.726585304,1.580411724,1.150800211,1
-1.869264952,1.639446522,1.266880065,0.231610621
4.723501412,-0.846886953,1.886509003,-1
-1.28360049,-3.65326633,1.525652063,1
1.874998302,-0.111773275,1.627389458,-0.873757471
-4.026828716,-1.40400538,1.45785569,1
3.733150263,-2.731162456,1.816269511,-0.540456781
0.581087441,-0.682252716,1.159461298,0.023638085
4.59036697,-3.910915195,1.971598351,-0.400999245
-3.721917455,0.568696966,1.947622425,0.999999999
-1.022015841,-4.253804786,1.928061877,1
4.38258594,-0.686824231,0.544574016,-1
1.815422997,-3.783737533,0.660591413,1
-3.7392135,-1.277917918,0.897027887,1
-0.292389235,-0.131366234,0.612724017,0.414236326
4.676512248,-1.896160144,1.889773732,-0.999999984
-9.356631715,1.203130253,1.539915699,1
2.643409591,-3.294818681,0.731891049,0.208445914
-1.478651651,-4.476266041,1.376593557,1
-5.438885107,0.511525791,1.941865342,1
-6.237060772,-0.651513974,1.232010215,1
3.853525954,0.07845243,0.538620484,-1
2.654176315,-1.729614457,1.52393184,-0.55716688
2.046902266,-2.591592343,1.568099772,0.170543008
3.78390898,-1.130477065,0.935317413,-1
-2.06929429,1.452852427,1.59598612,0.367742964
-0.359867443,-2.835189641,1.926579815,0.999999988
3.512670016,-3.448392125,1.56045544,-0.176143321
4.345866711,1.009475814,0.826561502,-1
0.604781845,0.561066975,0.912111479,-0.874421942
2.734035313,-3.789527701,0.540787426,0.506465394
-2.542049398,-2.631852389,1.814721148,1
4.40884254,0.987759535,0.998486791,-1
1.19407887,1.111589384,1.505794781,-1
-4.877492245,-3.739304851,1.620132657,1
-1.622929982,0.227979055,1.910949763,0.602907118
0.444631007,-3.04738125,1.894451928,0.99999979
4.456522949,-4.890538862,1.832614493,0.028784676
